L,mean,var
-13,45,286.6
-13.1,35.6,247.04
-13.2,31.8,101.96
-13.3,31,69.8
-13.4,32,130.4
-13.5,28.2,74.76
-13.6,17.2,40.16
-13.7,20.8,65.76
-13.8,19.2,39.36
-13.9,15,5
-14,12,59.2
-14.1,13.4,75.24
-14.2,14.2,45.96
-14.3,9,15.4
-14.4,7.6,17.44
-14.5,10.4,15.04
-14.6,7.8,22.76
-14.7,8.4,17.44
-14.8,8.2,9.16
-14.9,7,18.6
-15,4.4,9.44
-15.1,5.8,13.16
-15.2,5,9
-15.3,4.4,8.64
-15.4,3.8,8.36
-15.5,3.8,15.56
-15.6,3.4,4.04
-15.7,3.8,1.96
-15.8,3.8,9.16
-15.9,3.4,15.24
-16,3.6,5.44
-16.1,3.4,10.44
-16.2,2,6.4
-16.3,0.6,0.84
-16.4,1.4,3.24
-16.5,1,2.6
-16.6,1.2,2.56
-16.7,1.6,3.84
-16.8,1,1.8
-16.9,1.4,6.44
-17,0.6,1.64
-17.1,1.2,5.76
-17.2,0.8,3.36
-17.3,0.8,1.76
-17.4,0.4,0.64
-17.5,0.6,1.64
-17.6,0.6,0.84
-17.7,0,0
-17.8,0.4,0.64
-17.9,0,0
-18,0,0
-18.1,0.4,0.64
-18.2,0.4,0.64
-18.3,0,0
-18.4,0.4,0.64
-18.5,0,0
-18.6,0,0
-18.7,0.4,0.64
-18.8,0.2,0.36
-18.9,0.2,0.36
